#{"t_start": 1685782228.2114909, "env_id": null}
r,l,t
-76.072495,33,0.536516
-58.8953,53,0.989231
-53.98415,63,1.232784
-75.90278,29,1.716303
-69.37756,38,2.28987
-26.168406,104,2.36828
4.623448,105,2.411553
-10.246847,111,2.580537
-62.806572,40,2.914544
-13.337518,127,3.07367
-74.39941,28,3.136026
26.840029,131,3.196558
17.97071,131,3.196558
42.081417,133,3.256919
3.3067005,134,3.287344
38.23131,135,3.317628
38.386093,137,3.378144
-69.1636,35,3.438631
14.429507,139,3.438631
-61.990025,36,3.49932
7.5622716,108,3.49932
-75.80515,22,3.579861
40.75105,147,3.670182
-55.739468,37,3.708378
-78.423096,24,3.912471
-64.1605,46,4.567502
-51.45757,56,4.64776
-46.387203,60,4.799217
-55.739185,42,4.82835
-58.59223,50,4.939483
-56.75954,42,5.020133
-28.567846,70,5.292083
95.98489,210,5.332278
-34.69661,78,5.352422
-24.26643,77,5.380563
-66.69212,30,5.563987
-73.92142,29,5.704751
-57.809383,40,5.775095
-82.166275,21,5.803238
15.313771,103,5.895835
-44.193756,55,5.927112
-24.864595,99,6.006703
-5.7870145,102,6.026788
-40.3003,58,6.075018
-66.79347,31,6.107177
8.177541,109,6.298525
-63.3245,42,6.399076
10.0271845,113,6.399076
-55.63363,38,6.497574
-75.03318,33,6.588156
-36.627728,70,6.6405
-75.55775,38,6.751423
6.84444,121,6.751423
-64.97373,43,6.77956
-81.28857,36,6.980801
-79.70136,24,7.002913
-76.21405,30,7.06339
-51.279896,46,7.091664
-29.296515,73,7.133874
-73.60041,46,7.192366
-62.8392,31,7.192366
-62.352932,54,7.262722
-82.067345,21,7.295165
-72.309456,28,7.32528
-65.968315,48,7.32528
-47.556103,52,7.32528
-81.6436,22,7.355534
-74.74342,33,7.496852
-82.16509,22,7.555198
-66.57925,33,7.597468
-86.89107,21,7.627585
-67.44167,30,7.969288
-70.81026,32,7.969288
-65.49247,37,8.020647
-72.3696,25,8.180908
-80.4331,24,8.211122
-57.18756,51,8.319684
-51.05094,40,8.341842
-54.804977,44,8.450397
-63.181118,45,8.450397
-63.915546,44,8.472509
-82.13449,21,8.492591
-53.85913,47,8.522774
-27.282907,79,8.522774
-58.33676,50,8.5509
-45.30766,53,8.5509
-69.054695,38,8.601597
-78.87121,24,8.624241
-66.15829,41,8.996081
-75.11903,23,9.076845
-36.470753,64,9.137183
-75.27108,30,9.207957
-74.10947,32,9.327455
-43.10686,45,9.451264
-61.108425,39,9.451264
-75.65201,37,9.451264
-83.541084,26,9.820938
-57.874825,39,9.961843
-81.05599,23,10.00421
-75.83336,28,10.00421
-53.907814,39,10.024318
-27.507338,60,10.024318
-62.3896,36,10.336713
-28.725693,86,10.356801
-71.52075,30,10.710017
-10.913201,105,10.800882
-30.8229,74,10.943524
-43.14248,62,10.96211
-82.714676,27,11.010328
-4.458531,104,11.102874
-60.139133,45,11.132997
-68.122345,19,11.15322
-7.6114087,104,11.183419
-68.31216,36,11.203519
-4.352054,114,11.253908
3.4304395,119,11.294151
40.11224,110,11.324294
-77.09884,23,11.364575
-42.952744,56,11.384791
-32.716946,60,11.488927
-47.29667,61,11.536442
-80.83944,24,11.556629
-77.85201,20,11.677562
-60.90027,34,11.7682
-73.39376,27,11.808536
-76.74009,25,11.909198
-81.44165,24,11.957402
-61.85885,40,11.979644
15.409038,92,12.080162
-60.58398,36,12.120433
-53.49553,42,12.120433
-84.328026,19,12.23099
-51.48372,46,12.321548
-57.668972,43,12.392249
-50.25976,41,12.462762
-78.814766,24,12.49296
-38.520485,59,12.574509
-40.705475,55,12.623719
-47.449738,47,12.694218
-79.16156,25,12.95374
-54.300186,34,12.98394
-49.70705,50,13.2638
-34.352726,50,13.376497
-46.687458,62,13.770305
-27.307068,78,13.850771
-48.38872,48,13.880908
-8.223445,73,13.880908
-33.20661,59,14.069986
-36.08509,52,14.112234
-61.195656,40,14.775238
-29.243967,62,14.867522
-30.79115,78,15.016186
-31.084623,65,15.038377
33.921734,136,15.150402
32.069305,115,15.197745
-78.18457,106,15.240015
29.481672,118,15.432418
-46.11582,61,15.583379
-29.72117,67,15.688197
16.114061,110,15.775298
-52.07752,49,16.317558
-35.623203,56,16.337646
-57.79737,40,16.509798
8.830961,107,16.590351
7.2948694,110,16.690163
-37.685455,63,16.831276
-10.152211,67,16.871563
-38.283653,71,16.871563
-44.445564,41,16.871563
-76.837494,29,17.040894
45.930843,175,17.134515
167.84999,221,17.171712
-73.372154,29,17.21413
39.25208,138,17.355058
40.7317,106,17.465885
-63.519672,41,17.606918
-32.430145,80,17.818018
-59.083138,34,18.348418
-22.439837,58,18.462626
-14.918484,66,18.462626
37.0617,121,18.462626
-19.070295,62,18.523041
-49.517876,49,18.523041
-4.470652,63,18.603741
-18.332588,58,19.154906
4.858261,80,19.53965
13.963027,95,19.892545
-43.352695,55,20.16564
42.66397,110,20.86029
56.804302,121,20.951134
20.752407,107,21.30329
149.95863,217,21.394815
56.963104,121,21.704005
64.925064,131,21.907297
15.140337,102,22.076376
-38.019844,51,22.098692
161.94522,193,22.180299
-71.360565,30,22.430549
117.45227,164,22.609971
-83.15416,19,22.632486
-71.6288,30,22.632486
192.0222,249,22.813572
-46.038177,58,22.841728
-25.159676,63,22.867058
85.60054,169,22.902184
-61.191204,34,22.924372
-6.455943,80,22.924372
187.18657,233,23.015044
65.67256,158,23.176391
-37.100826,46,23.256984
61.344883,152,23.669606
26.368652,202,23.699967
-41.242584,45,23.800484
-40.459778,55,23.870673
-39.620018,49,23.898981
-41.128986,59,24.454947
-39.1051,44,24.454947
159.24457,185,24.855857
-17.207191,76,24.855857
-2.1579351,76,25.009204
-37.675446,54,25.110011
6.233722,91,25.291105
-3.3369126,84,25.391923
25.543615,102,25.486011
-37.73585,67,25.643907
-1.3231827,107,25.704195
-25.313404,74,25.794659
-51.215103,55,25.845082
8.864406,130,26.016056
-64.52786,41,26.046205
-55.00124,48,26.076361
-61.718292,40,26.126659
4.3472743,128,26.248508
-51.920757,40,26.388744
-9.3708105,78,26.416988
27.401892,118,26.81201
26.57584,122,26.81201
-39.728855,66,26.902484
-48.395073,53,27.001008
-39.79108,76,27.355678
-24.699978,73,27.426394
-7.7913556,71,27.516938
-43.841633,61,27.547077
-68.03343,35,27.679063
-35.591187,65,27.698192
-17.144913,69,27.726402
35.729877,132,28.111094
6.8018026,88,28.171568
-47.32778,47,28.171568
-58.583656,35,28.211727
-65.55393,31,28.292109
-46.150932,49,28.644364
-44.47937,48,29.337409
36.373344,123,29.822448
-7.2739296,90,29.913033
-18.173483,82,30.114574
14.507566,114,30.475198
7.559841,96,30.505349
11.885623,97,30.578872
-15.594888,89,30.809853
100.042816,180,30.809853
121.23883,205,30.861116
-40.84551,65,30.930451
83.389565,186,30.930451
12.525377,112,31.03185
109.91382,199,31.112382
-46.099022,56,31.21313
-50.19249,55,31.293746
53.104263,147,31.293746
76.126335,156,31.394302
-57.064148,40,31.493234
113.61073,187,31.525597
-58.69561,41,31.545801
-51.200825,46,31.747138
-13.682371,69,31.848035
-73.059265,33,31.87626
-76.89819,28,31.989207
-38.211582,49,32.039472
-40.32746,53,32.180351
-45.887924,55,32.180351
-47.057465,50,32.180351
-37.481377,56,32.653236
-122.53211,76,32.794324
-20.159073,68,32.864843
-67.42239,37,32.92334
-28.491322,62,33.034296
